_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
36.819,CXOGlb J002407.5-720417,X,00 24 07.552,-72 04 17.80,139,120,90,,,,,,,,,,,,,1,6.031467,-72.071611
36.9265,[MSS2012] 42,Star,00 23 59.90006,-72 05 20.2026,0.036,0.03,90,5.385,-2.734,13.714,11.86,,,,,,,,,1,5.999584,-72.088945
37.1204,CXOGlb J002410.7-720425,CataclyV*,00 24 10.763,-72 04 25.71,,,,,,,,,,,,,,,,11,6.044846,-72.073808
37.4622,CXOGlb J002413.4-720451,Candidate_XB*,00 24 13.464,-72 04 51.13,,,,,,,,,,,,,,,,4,6.0561,-72.080869
37.4721,Cl* NGC  104  AGBWF  3-26,V*,00 24 13.4766,-72 04 52.361,,,,,,,11.919,,,,,,,,,1,6.056153,-72.081211
37.6663,CXOGlb J002357.7-720506,X,00 23 57.706,-72 05 06.30,148,80,90,,,,,,,,,,,,,1,5.990442,-72.085083
37.7562,CXOGlb J002404.3-720530,X,00 24 04.371,-72 05 30.68,130,116,0,,,,,,,,,,,,,1,6.018213,-72.091856
37.8625,PSR J0024-7204E,Pulsar,00 24 11.125,-72 05 20.14,,,,6.15,-2.35,,,,,,,,,,,55,6.046354,-72.088928
38.0386,Cl* NGC  104     LW      16,V*,00 24 13.60,-72 04 52.5,90,80,0,,,,11.88,,,7.487,7.265,,,,,3,6.056667,-72.08125
38.2888,[MSS2012] 28,Star,00 24 07.53048,-72 05 30.1548,0.097,0.051,90,6.175,-0.925,13.7,11.844,,,,,,,,,1,6.031377,-72.09171
38.3124,CXOGlb J002413.5-720447,BYDra,00 24 13.559,-72 04 47.23,107,80,90,,,,19.437,,,,,,,,,2,6.056496,-72.079786
38.5091,[MSS2012] 22,Star,00 24 13.702,-72 04 52.51,,,,,,13.552,11.621,,,,,,,,,1,6.057092,-72.081253
38.6553,CXOGlb J002411.7-720518,X,00 24 11.767,-72 05 18.10,100,97,71,,,,,,,,,,,,,1,6.049029,-72.088361
39.1647,Cl* NGC  104   GYSB     866,Star,00 24 13.661,-72 04 45.09,,,,,,,,,,,,,,,,1,6.056921,-72.079192
39.2278,Cl* NGC  104  AGBWF  3-10,Star,00 24 13.3209,-72 05 06.947,,,,,,,17.12,,,,,,,,,1,6.055504,-72.085263
39.7264,Cl* NGC  104  AGBWF  2-19,BYDra,00 24 07.0542,-72 04 14.252,,,,,,,21.188,,,,,,,,,1,6.029393,-72.070626
39.7568,CXOGlb J002357.9-720513,X,00 23 57.895,-72 05 13.06,100,79,0,,,,,,,,,,,,,1,5.991229,-72.086961
39.8967,2MASS J00240154-7205290,AGB*,00 24 01.54872,-72 05 29.0148,80,70,5,,,,,,11.038,9.662,10.106,,,,,2,6.006453,-72.091393
39.9441,CXOGlb J002356.7-720450,X,00 23 56.731,-72 04 50.04,158,110,90,,,,,,,,,,,,,1,5.986379,-72.080567
40.1495,PSR J0024-72D,Pulsar,00 24 13.818,-72 04 43.83,,,,4.24,-2.24,,,,,,,,,,,54,6.057575,-72.078842
40.4006,Cl* NGC  104  AGBWF  2-13,BYDra,00 24 13.2992,-72 04 36.197,,,,,,,18.066,,,,,,,,,1,6.055413,-72.076721
40.9855,[MSS2012] 100,Star,00 24 07.133,-72 05 33.36,,,,,,,13.006,,,,,,,,,1,6.029721,-72.0926
41.0523,CXOGlb J002356.8-720504,X,00 23 56.796,-72 05 04.33,120,107,0,,,,,,,,,,,,,1,5.98665,-72.084536
41.1218,[MSS2012] 34,Star,00 24 08.30695,-72 04 14.3953,0.039,0.024,90,5.688,-2.859,13.514,11.722,,9.562,,8.649,,,,,1,6.034612,-72.070665
41.2263,Cl* NGC  104  AGBWF  3-7,Star,00 24 14.2860,-72 04 54.745,,,,,,,19.597,,,,,,,,,3,6.059525,-72.081874
41.3398,[MSS2012] 31,Star,00 24 06.48913,-72 05 34.2097,0.031,0.026,90,5.747,-2.795,13.637,11.782,,,,,,,,,1,6.027038,-72.092836
41.8854,[MSS2012] 99,Star,00 24 11.56399,-72 04 22.6386,55.845,34.067,90,,,14.635,13.181,,11.415,,10.646,,,,,1,6.048183,-72.072955
41.9146,NAME 47 Tuc bHB1,Star,00 24 00.0250,-72 04 19.280,,,,,,,13.761,,,,,,,,,1,6.000104,-72.072022
41.9453,CXOGlb J002401.1-720530,X,00 24 01.109,-72 05 30.28,120,65,100,,,,,,,,,,,,,2,6.004621,-72.091744
41.9939,[MSS2012] 96,Star,00 23 56.317,-72 04 48.50,,,,,,14.289,12.766,,10.887,,10.087,,,,,1,5.984654,-72.080139
42.3729,CXOGlb J002358.8-720423,X,00 23 58.846,-72 04 23.34,107,80,90,,,,,,,,,,,,,1,5.995192,-72.07315
42.6013,CXOGlb J002410.7-720418,X,00 24 10.794,-72 04 18.77,144,90,90,,,,,,,,,,,,,1,6.044975,-72.071881
42.7123,[MSS2012] 91,Star,00 24 08.785,-72 05 32.88,80,70,5,,,,12.821,,10.963,10.339,10.195,,,,,1,6.036604,-72.092467
42.9163,[MSS2012] 57,Star,00 23 58.17014,-72 04 25.9844,0.513,0.411,90,4.023,-0.57,13.832,12.081,,10.066,9.22,9.166,,,,,1,5.992376,-72.073885
42.918,2MASS J00235676-7205095,RGB*,00 23 56.76340,-72 05 09.5938,0.057,0.079,90,6.174,-0.906,14.88,13.889,,12.18,11.66,11.61,,,,,3,5.986514,-72.085998
42.981,[MSS2012] 44,Star,00 23 56.146,-72 04 46.92,,,,,,13.753,11.993,,,,,,,,,1,5.983942,-72.0797
43.1438,[LML2014] 100167,AGB*,00 24 09.83823,-72 05 31.0724,0.224,0.34,90,,,,,,,,,,,,,1,6.040993,-72.091965
43.1774,Cl* NGC  104  AGBWF  2-38,V*,00 24 14.5151,-72 04 44.337,,,,,,,11.214,,,,,,,,,1,6.06048,-72.078983
43.3702,CXOGlb J002410.6-720529,XB,00 24 10.598,-72 05 29.21,65,60,89,,,,,,,,,,,,,2,6.044158,-72.091447
43.409,[MSS2012] 98,Star,00 23 56.30196,-72 04 41.4970,0.061,0.05,90,4,-2.677,14.331,12.824,,10.976,10.429,10.182,,,,,1,5.984592,-72.078194
43.5874,[LML2014] 100171,AGB*,00 24 11.5152,-72 05 26.262,,,,,,,,,,,,,,,,1,6.04798,-72.090628
43.5891,[MSS2012] 21,Star,00 23 59.81004,-72 05 28.4785,0.084,0.088,90,6.053,-2.694,,11.511,,9.239,8.341,8.15,,,,,1,5.999209,-72.091244
43.6156,Cl* NGC  104  AGBWF  3-11,BYDra,00 24 14.4423,-72 05 05.259,,,,,,,17.468,,,,,,,,,1,6.060176,-72.084794
43.6377,CXOGlb J002412.5-720521,BYDra,00 24 12.521,-72 05 21.70,153,120,90,,,,19.894,,,,,,,,,2,6.052171,-72.089361
43.6404,[MSS2012] 69,Star,00 24 06.986,-72 05 36.19,,,,,,14.101,12.465,,,,,,,,,1,6.029108,-72.093386
43.7296,Cl* NGC  104   GYSB     241,Star,00 24 05.161,-72 05 36.92,,,,,,,,,,,,,,,,1,6.021504,-72.093589
43.8838,[MSS2012] 62,Star,00 23 57.15550,-72 04 31.0186,1.359,1.335,90,,,14.07,12.433,,10.459,9.509,9.597,,,,,1,5.988148,-72.075283
44.2876,Cl* NGC  104  AGBWF  4-12,BYDra,00 24 04.5026,-72 05 37.311,,,,,,,17.624,,,,,,,,,1,6.018761,-72.093697
44.2941,Cl* NGC  104      R      10,V*,00 24 14.76732,-72 04 44.4535,0.026,0.022,90,4.911,-3.505,13.475,11.12,,8.695,7.809,7.567,K3II,,,,15,6.061531,-72.079015
44.361,Cl* NGC  104      R      13,Star,00 24 06.632,-72 04 09.23,,,,,,13.955,12.262,,10.13,,9.236,G8:III:,,,,5,6.027633,-72.069231
44.3785,CXOGlb J002400.9-720414,X,00 24 00.977,-72 04 13.70,,,,,,,,,,,,,,,,2,6.004071,-72.070472
44.4774,CXOGlb J002408.5-720535,EB*,00 24 08.544,-72 05 35.18,50,42,0,,,,17.129,,,,,,,,,2,6.0356,-72.093106
44.5089,Cl* NGC  104  AGBWF  2-18,BYDra,00 24 12.56,-72 04 23.6,80,70,5,,,,18.312,,11.3,10.825,10.84,,,,,6,6.052333,-72.073222
44.6435,CXOGlb J002356.3-720437,X,00 23 56.315,-72 04 37.37,111,100,90,,,,,,,,,,,,,2,5.984646,-72.077047
44.9833,Cl* NGC  104    MFF    1412,V*,00 24 14.46442,-72 05 09.2666,0.045,0.034,90,5.854,-2.55,14.159,12.193,,8.081,7.184,6.935,,,,,6,6.060268,-72.085907
45.1331,Cl* NGC  104  AGBWF  2-46,V*,00 24 13.5246,-72 04 28.373,,,,,,,12.648,,,,,,,,,1,6.056353,-72.074548
45.1759,CXOGlb J002410.8-720415,X,00 24 10.861,-72 04 15.84,,,,,,,,,,,,,,,,4,6.045254,-72.071067
45.8233,Cl* NGC  104  AGBWF  3-3,EB*,00 24 15.261,-72 04 56.61,56,50,90,,,,17.532,,,,,,,,,2,6.063588,-72.082392
45.8383,[GHE2001] W239,BYDra,00 24 15.053,-72 05 03.20,120,111,0,,,,19.257,,,,,,,,,2,6.062721,-72.084222
46.0082,Cl* NGC  104  AGBWF  4-21,V*,00 24 09.9840,-72 05 33.961,,,,,,,12.383,,,,,,,,,1,6.0416,-72.092767
46.0137,CXOGlb J002359.9-720531,X,00 23 59.974,-72 05 31.93,,,,,,,,,,,,,,,,3,5.999892,-72.092203
46.0337,[MSS2012] 73,Star,00 24 13.77296,-72 04 28.4865,0.038,0.057,90,4.752,-2.534,14.054,12.461,,10.562,,9.681,,,,,1,6.057387,-72.07458
46.0761,CXOGlb J002415.3-720450,BYDra,00 24 15.319,-72 04 50.02,140,79,0,,,,20.764,,,,,,,,,2,6.063829,-72.080561
46.1707,CXOGlb J002400.6-720412,X,00 24 00.661,-72 04 12.44,140,83,0,,,,,,,,,,,,,2,6.002754,-72.070122
46.3061,CXOGlb J002415.1-720443,XB,00 24 15.163,-72 04 43.36,,,,,,,17.576,,,,,Me,,,,10,6.063179,-72.078711
46.5933,[MSS2012] 35,Star,00 24 10.244,-72 05 33.98,70,60,5,,,,11.869,,9.705,9.068,8.796,,,,,2,6.042683,-72.092772
46.6028,[MSS2012] 55,Star,00 23 57.19684,-72 05 20.6503,0.053,0.038,90,5.66,-3.065,13.776,12.177,,10.286,9.578,9.458,,,,,1,5.98832,-72.08907
46.6495,2MASS J00241143-7205304,AGB*,00 24 11.43192,-72 05 30.4980,100,70,1,5.541,-3.005,,,,11.314,10.743,10.601,,,,,2,6.047633,-72.091805
46.8031,[MSS2012] 39,Star,00 24 01.86090,-72 04 09.2712,0.032,0.025,90,4.855,-1.95,13.547,11.59,,,,,,,,,1,6.007754,-72.069242
46.8621,PSR J0024-72H,Pulsar,00 24 06.686,-72 04 06.74,,,,5.1,-2.8,,,,,,,,,,,55,6.027858,-72.068539
46.8642,[CPF2015] COM-47TucH,Candidate_WD*,00 24 06.7550,-72 04 06.781,,,,,,,,,,,,,,,,1,6.028146,-72.06855
46.9714,CXOGlb J002402.6-720538,X,00 24 02.597,-72 05 38.41,,,,,,,,,,,,,,,,3,6.010821,-72.094003
47.1438,[MSS2012] 68,Star,00 23 57.08150,-72 04 25.5836,0.628,0.334,90,,,14.125,12.492,,10.539,9.701,9.687,,,,,1,5.98784,-72.073773
47.2886,Cl* NGC  104  AGBWF  2-40,V*,00 24 01.6279,-72 04 09.160,,,,,,,12.011,,,,,,,,,1,6.006783,-72.069211
48.0588,CXOGlb J002413.4-720523,XB,00 24 13.479,-72 05 23.30,144,110,90,,,,,,,,,,,,,4,6.056163,-72.089806
48.2256,Cl* NGC  104    MFF    2271,V*,00 24 15.15666,-72 04 36.4455,0.039,0.033,90,5.426,-2.552,13.898,11.178,,7.876,6.997,6.723,,,,,8,6.063153,-72.07679
48.9688,CXOGlb J002405.1-720404,EB*,00 24 05.158,-72 04 04.24,181,140,90,,,,22.137,,,,,,,,,3,6.021492,-72.067844
49.0879,CXOGlb J002415.6-720441,XB,00 24 15.678,-72 04 41.31,,,,,,,16.194,,,,,,,,,7,6.065325,-72.078142
49.1238,Cl* NGC  104  AGBWF  2-35,V*,00 24 14.4012,-72 04 27.294,,,,,,,12.238,,,,,,,,,1,6.060005,-72.074248
49.242,CXOGlb J002415.9-720451,XB,00 24 16.023,-72 04 51.56,,,,,,,20.832,,,,,,,,,5,6.066762,-72.080989
49.5261,CXOGlb J002406.6-720542,BYDra,00 24 06.626,-72 05 42.38,120,70,0,,,,19.767,,,,,,,,,2,6.027608,-72.095106
49.6194,CXOGlb J002415.2-720433,X,00 24 15.203,-72 04 33.26,130,120,89,,,,,,,,,,,,,1,6.063346,-72.075906
49.6534,Cl* NGC  104  AGBWF  3-23,BYDra,00 24 16.0377,-72 04 59.281,,,,,,,17.501,,,,,,,,,1,6.066824,-72.083134
49.7789,CXOGlb J002354.6-720445,X,00 23 54.697,-72 04 45.68,144,110,90,,,,,,,,,,,,,1,5.977904,-72.079356
49.7815,CXOGlb J002406.1-720542,X,00 24 06.172,-72 05 42.84,70,70,90,,,,,,,,,,,,,1,6.025717,-72.095233
49.784,Cl* NGC  104  AGBWF  4-24,V*,00 24 11.0310,-72 05 35.552,,,,,,,12.741,,,,,,,,,1,6.045963,-72.093209
49.9819,[MSS2012] 56,Star,00 24 14.641,-72 04 27.46,,,,,,13.706,12.025,,10.096,,9.217,,,,,1,6.061004,-72.074294
50.0956,Cl* NGC  104   GYSB     938,Star,00 24 15.868,-72 04 40.67,,,,,,,,,,,,,,,,1,6.066117,-72.077964
50.1904,SWIFT J002402.1-720541,Transient,00 24 02.11,-72 05 41.1,,,,,,,,,,,,,,,,1,6.008792,-72.09475
50.3721,Cl* NGC  104      R       1,Star,00 23 58.145,-72 05 31.01,,,,,,13.593,10.73,,,,,B8III:,,,,18,5.992271,-72.091947
50.5378,[MSS2012] 71,Star,00 24 11.31367,-72 05 35.6189,0.131,0.273,90,4.267,-4.152,14.199,12.599,,,,,,,,,1,6.04714,-72.093227
50.7952,2MASS J00235767-7205296,post-AGB*,00 23 57.68,-72 05 29.6,120,110,0,,,,11.368,,8.016,6.927,6.694,,,,,8,5.990333,-72.091556
50.9508,CXOGlb J002402.1-720542,CataclyV*,00 24 02.141,-72 05 41.94,,,,,,,,,,,,,,,,14,6.008921,-72.094983
51.0134,Cl* NGC  104      R      51,Star,00 23 54.77351,-72 05 07.9105,0.051,0.046,90,5.298,-3.466,,,,8.376,7.495,7.254,K2II,,,,5,5.978223,-72.085531
51.1745,Cl* NGC  104  AGBWF  2-10,BYDra,00 24 15.5759,-72 04 33.326,,,,,,,17.487,,,,,,,,,1,6.0649,-72.075924
51.1962,NGC   104     2,Star,00 24 15.66766,-72 04 34.3027,0.072,0.06,90,4.097,-1.844,13.864,12.083,,10.021,,9.092,,,,,1,6.065282,-72.076195
51.3807,2MASS J00240181-7204045,RGB*,00 24 01.81032,-72 04 04.5012,70,60,0,,,13.903,12.695,,10.313,8.843,8.831,,,,,2,6.007543,-72.067917
51.3907,Cl* NGC  104  AGBWF  2-48,CataclyV*,00 24 15.880,-72 04 36.38,10,9,0,,,,,,,,,Me,,,,17,6.066167,-72.076772
51.6913,CXOGlb J002354.9-720433,X,00 23 54.982,-72 04 33.76,180,116,0,,,,,,,,,,,,,2,5.979092,-72.076044
52.0922,CXOGlb J002410.9-720408,X,00 24 10.972,-72 04 08.01,170,158,0,,,,,,,,,,,,,1,6.045717,-72.068892
52.1166,[CBG2009] NGC  104   26870,RGB*,00 24 12.242,-72 04 11.89,200,200,90,,,14.867,13.863,,,,,,,,,3,6.051008,-72.069969
52.4367,CXOGlb J002357.7-720414,X,00 23 57.742,-72 04 14.30,181,110,90,,,,,,,,,,,,,3,5.990592,-72.070639
52.4805,NAME 47 Tuc E-BSS1,BlueStraggler,00 24 14.4279,-72 04 21.550,,,,,,,13.573,,,,,,,,,1,6.060116,-72.072653
52.5165,Cl* NGC  104  AGBWF  2-23,BYDra,00 24 12.2897,-72 04 11.555,,,,,,,18.894,,,,,,,,,1,6.051207,-72.069876
52.6469,[MBV2011] 14089,Star,00 23 54.07,-72 05 00.8,,,,,,,,,,,,,,,,1,5.975292,-72.083556
52.7351,[MSS2012] 74,Star,00 23 54.92933,-72 04 31.6710,0.39,0.43,90,-0.007,-2.912,14.119,12.513,,10.564,,9.728,,,,,1,5.978872,-72.075464
52.796,CXOGlb J002416.7-720447,BYDra,00 24 16.727,-72 04 47.30,100,88,0,,,,17.479,,,,,,,,,2,6.069696,-72.079806
53.1101,CXOGlb J002407.1-720545,CataclyV*,00 24 07.141,-72 05 45.67,,,,,,,,,,,,,,,,14,6.029754,-72.096019
53.7079,CXOGlb J002409.2-720543,CataclyV*,00 24 09.219,-72 05 43.87,40,32,0,,,,,,,,,,,,,4,6.038413,-72.095519
53.7768,SWIFT J002357.7-720413,Transient,00 23 57.72,-72 04 12.6,,,,,,,,,,,,,,,,1,5.9905,-72.070167
53.8203,CXOGlb J002400.7-720542,X,00 24 00.759,-72 05 42.66,144,100,90,,,,,,,,,,,,,2,6.003163,-72.095183
54.0513,SWIFT J002406.8-720546,Transient,00 24 06.87,-72 05 46.8,,,,,,,,,,,,,,,,1,6.028625,-72.096333
54.1824,Cl* NGC  104  AGBWF  2-24,BYDra,00 24 15.1099,-72 04 23.037,,,,,,,17.966,,,,,,,,,1,6.062958,-72.073066
54.7898,CXOGlb J002400.2-720403,X,00 24 00.199,-72 04 03.86,130,65,0,,,,,,,,,,,,,1,6.000829,-72.067739
55.2414,CXOGlb J002417.2-720446,X,00 24 17.228,-72 04 46.06,140,139,0,,,,,,,,,,,,,3,6.071783,-72.079461
55.3185,2MASS J00235692-7205325,RGB*,00 23 56.93356,-72 05 32.5589,0.031,0.023,90,6.725,-2.852,13.398,11.775,,8.183,7.463,7.135,,,,,7,5.987223,-72.092377
55.8286,[GHE2001] W88,X,00 23 54.175,-72 05 14.50,,,,,,,,,,,,,,,,1,5.975729,-72.087361
55.9098,CXOGlb J002358.2-720538,X,00 23 58.250,-72 05 38.48,111,70,90,,,,,,,,,,,,,1,5.992708,-72.094022
56.3461,CXOGlb J002410.2-720401,XB,00 24 10.217,-72 04 01.51,80,74,0,,,,,,,,,,,,,3,6.042571,-72.067086
56.7967,Cl* NGC  104  AGBWF  2-20,BYDra,00 24 04.5152,-72 03 56.537,,,,,,,20.886,,,,,,,,,1,6.018813,-72.065705
57.0223,Cl* NGC  104  AGBWF  4-11,BYDra,00 24 14.9759,-72 05 29.017,,,,,,,20.604,,,,,,,,,1,6.0624,-72.091394
57.3094,[CPF2015] COM-47TucU,Candidate_WD*,00 24 09.8350,-72 03 59.746,,,,,,20.98,,20.82,,,,,,,,2,6.040979,-72.066596
57.3183,[MSS2012] 63,Star,00 23 53.38047,-72 04 38.0753,1.122,1.152,90,,,14.085,12.427,,10.465,9.68,9.62,,,,,1,5.972419,-72.077243
57.3789,PSR J0023-72U,Pulsar,00 24 09.8325,-72 03 59.667,,,,4.6,-3.8,,,,,,,,,,,50,6.040969,-72.066574
57.3956,CXOGlb J002353.4-720511,X,00 23 53.548,-72 05 11.20,,,,,,,,,,,,,,,,3,5.973117,-72.086444
58.0044,CXOGlb J002400.3-720546,X,00 24 00.424,-72 05 46.55,,,,,,,,,,,,,,,,3,6.001767,-72.096264
58.2549,2MASS J00241755-7204385,AGB*,00 24 17.57610,-72 04 38.5694,4.291,0.872,90,,,14.436,12.971,,11.181,10.733,10.38,,,,,2,6.073234,-72.07738
58.4097,Cl* NGC  104      R       3,Star,00 23 53.069,-72 05 07.18,70,60,0,,,,,,8.561,7.777,7.562,K3III,,,,5,5.971121,-72.085328
58.4806,Cl* NGC  104  AGBWF  2-44,V*,00 24 17.0016,-72 04 30.134,,,,,,,12.175,,,,,,,,,1,6.07084,-72.075037
58.5057,PSR J0023-72Q,Pulsar,00 24 16.482,-72 04 25.15,56,50,89,5.2,-2.6,,,,,,,,,,,35,6.068675,-72.073653
58.5058,[CPF2015] COM-47TucQ,Candidate_WD*,00 24 16.4890,-72 04 25.209,,,,,,23.41,,23.6,,,,,,,,2,6.068704,-72.073669
58.6718,PSR J0024-7204X,Pulsar,00 24.0,-72 04,,,,,,,,,,,,,,,,1,6,-72.066667
58.6718,PSR J0024-7204Z,Pulsar,00 24.0,-72 04,,,,4,1,,,,,,,,,,,4,6,-72.066667
58.9921,2MASS J00235311-7205101,RGB*,00 23 53.115,-72 05 10.17,80,70,0,,,14.054,12.883,,8.75,7.91,7.74,,,,,3,5.971313,-72.086158
59.1301,[GHE2001] W99,X,00 24 02.37,-72 05 50.7,,,,,,,,,,,,,,,,3,6.009875,-72.097417
59.3863,2MASS J00240517-7205525,RGB*,00 24 05.17728,-72 05 52.5804,70,60,0,,,14.348,13.208,,10.951,10.402,10.241,,,,,1,6.021572,-72.097939
59.4111,2MASS J00240182-7205503,AGB*,00 24 01.82208,-72 05 50.3268,70,60,5,,,,,,10.83,10.241,10.206,,,,,2,6.007592,-72.097313
59.4334,[MSS2012] 43,Star,00 24 17.241,-72 04 30.30,,,,,,13.693,11.874,,9.767,,8.838,,,,,1,6.071838,-72.075083
59.5731,CXOGlb J002416.9-720427,CataclyV*,00 24 16.969,-72 04 27.18,,,,,,,20.137,,,,,Me,,,,11,6.070704,-72.074217
59.8203,2MASS J00240855-7205511,AGB*,00 24 08.55384,-72 05 51.1764,70,60,0,,,,,,11.037,10.512,10.43,,,,,2,6.035641,-72.097549
59.9311,2MASS J00240062-7203573,AGB*,00 24 00.64113,-72 03 57.3674,0.031,0.025,90,5.78,-2.365,,,,10.34,9.62,9.52,,,,,1,6.002671,-72.065935
60.3155,Cl* NGC  104    SAW V8,V*,00 24 08.59137,-72 03 54.7599,0.049,0.042,90,5.481,-2.383,13.779,10.95,,7.866,7.02,6.661,M2/3II:e,,,,27,6.035797,-72.065211
60.6923,2MASS J00235912-7203597,AGB*,00 23 59.12016,-72 03 59.7780,80,70,0,,,14.268,13.167,,11.163,10.534,10.4,,,,,1,5.996334,-72.066605
60.8407,[FG2000] 47 Tuc 2,Radio,00 23 59.33,-72 03 59.1,,,,,,,,,,,,,,,,1,5.997208,-72.066417
60.9535,PSR J0023-7203J,Pulsar,00 23 59.40735,-72 03 58.7914,,,,5.27,-3.59,,,,,,,,,,,73,5.997531,-72.066331
60.9689,CXOGlb J002359.4-720358,Pulsar,00 23 59.392,-72 03 58.81,,,,,,,,,,,,,,,,3,5.997467,-72.066336
61.0795,CXOGlb J002357.6-720542,X,00 23 57.687,-72 05 42.98,,,,,,,,,,,,,,,,3,5.990362,-72.095272
61.177,Cl* NGC  104  AGBWF  3-4,EB*,00 24 18.609,-72 04 55.10,110,79,80,,,,18.852,,,,,,,,,3,6.077538,-72.081972
61.2344,Cl* NGC  104  AGBWF  4-9,BYDra,00 24 07.4045,-72 05 53.703,,,,,,,20.743,,,,,,,,,1,6.030852,-72.098251
61.2724,[MSS2012] 65,Star,00 23 52.803,-72 04 33.31,,,,,,14.038,12.391,,10.423,,9.548,,,,,1,5.970012,-72.075919
61.6915,Cl* NGC  104    FBV      38,Star,00 24 18.56307,-72 04 43.6050,0.962,0.961,90,13.819,6.644,13.645,11.655,,9.226,8.367,8.146,,,,,2,6.077346,-72.078779
61.7237,CXOGlb J002407.4-720554,X,00 24 07.416,-72 05 54.19,88,80,90,,,,,,,,,,,,,1,6.0309,-72.098386
62.0422,CXOGlb J002351.9-720453,X,00 23 51.916,-72 04 53.85,100,70,0,,,,,,,,,,,,,1,5.966317,-72.081625
62.0563,Cl* NGC  104  AGBWF  3-21,BYDra,00 24 18.5850,-72 05 04.426,,,,,,,21.42,,,,,,,,,1,6.077438,-72.084563
62.6254,2MASS J00235186-7205011,RGB*,00 23 51.88989,-72 05 00.8530,0.102,0.063,90,5.217,-2.867,14.56,13.483,,11.38,10.88,10.65,,,,,3,5.966208,-72.08357
62.6985,PSR J0024-7204M,Pulsar,00 23 54.489,-72 05 30.83,80,60,0,5,-2,,,,,,,,,,,35,5.977038,-72.091897
63.0478,[GLS2013] 47 Tuc  87408,HB*,00 23 54.109,-72 04 17.45,,,,,,,,,,,,,,,,1,5.975454,-72.071514
63.6404,Cl* NGC  104  AGBWF  4-5,EB*,00 24 14.6191,-72 05 40.371,,,,,,,18.643,,,,,,,,,3,6.060913,-72.094547
63.7617,[GHE2001] W335,X,00 23 52.015,-72 04 36.70,120,111,0,,,,,,,,,,,,,2,5.966729,-72.076861
63.893,[GHE2001] W235,X,00 24 16.046,-72 04 12.60,162,110,90,,,,,,,,,,,,,2,6.066858,-72.070167
64.0866,Cl* NGC  104  AGBWF  2-28,BYDra,00 24 14.5934,-72 04 05.350,,,,,,,19.265,,,,,,,,,1,6.060806,-72.068153
64.0907,[GHE2001] W242,BYDra,00 24 14.033,-72 04 03.16,153,90,90,,,,20.025,,,,,,,,,2,6.058471,-72.067544
64.2804,2MASS J00240102-7205542,XB,00 24 01.03,-72 05 54.3,190,170,16,,,,,,13.778,13.541,,,,,,4,6.004292,-72.098417
64.5259,[GHE2001] W332,X,00 23 54.001,-72 04 15.59,311,90,90,,,,,,,,,,,,,1,5.975004,-72.070997
65.0838,Cl* NGC  104     LW       9,V*,00 23 58.18022,-72 05 49.2289,0.055,0.042,90,5.684,-2.748,,12.34,,7.881,6.927,6.694,,,,,4,5.992418,-72.097008
65.3151,Cl* NGC  104    FBV      24,Star,00 23 58.0,-72 05 49,,,,,,,,,,,,,,,,1,5.991667,-72.096944
65.3582,Cl* NGC  104  AGBWF  2-5,EB*,00 24 10.6619,-72 03 52.601,,,,,,,20.184,,,,,,,,,1,6.044425,-72.064611
65.8165,2MASS J00240310-7203482,AGB*,00 24 03.107,-72 03 48.21,70,60,163,,,,,,11.14,10.58,10.44,,,,,1,6.012946,-72.063392
66.1458,CXOGlb J002351.9-720429,X,00 23 51.996,-72 04 29.31,,,,,,,,,,,,,,,,3,5.96665,-72.074808
66.815,2MASS J00241462-7204018,AGB*,00 24 14.621,-72 04 01.86,70,60,96,,,14.126,13.058,,11.16,10.57,10.41,,,,,2,6.060921,-72.067183
67.038,CXOGlb J002406.0-720346,X,00 24 06.013,-72 03 46.23,40,37,0,,,,,,,,,,,,,2,6.025054,-72.062842
67.2632,[MSS2012] 38,Star,00 24 19.89433,-72 04 48.2738,0.058,0.063,90,5.56,-2.132,,11.825,,,,,,,,,1,6.082893,-72.080076
67.4469,[GLS2013] 47 Tuc  83386,HB*,00 23 52.633,-72 05 26.39,,,,,,,,,,,,,,,,1,5.969304,-72.090664
67.608,Cl* NGC  104  AGBWF  2-37,V*,00 24 13.0092,-72 03 55.552,,,,,,,12.245,,,,,,,,,1,6.054205,-72.065431
67.6994,Cl* NGC  104      R      26,RGB*,00 23 53.16497,-72 04 15.5896,0.031,0.023,90,4.605,-2.6,13.41,11.724,,8.437,7.495,7.273,M2II/II-III,,,,9,5.971521,-72.070997
67.8525,2MASS J00241882-7204259,RGB*,00 24 18.824,-72 04 25.98,90,70,2,,,14.561,13.457,,11.46,10.86,10.84,,,,,3,6.078433,-72.073883
68.2369,Cl* NGC  104  AGBWF  3-27,V*,00 24 19.0539,-72 05 18.956,,,,,,,11.962,,,,,,,,,1,6.079391,-72.088599
