_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
134.8217,[MDL2014] 74,Candidate_HB*,00 52 35.48536,-26 34 24.9460,0.045,0.032,90,4.275,-5.657,,,,,,,,,,,1,13.147856,-26.573596
134.9352,Gaia DR2 2342908168959213952,Star,00 52 51.93526,-26 33 16.7062,0.307,0.129,90,11.436,-6.281,,,,,,,,,,,1,13.216397,-26.554641
136.2728,2MASS J00524958-2637006,RGB*,00 52 49.59096,-26 37 00.5454,0.043,0.026,90,4.297,-5.627,,,,13.74,13.23,13.14,,,,,1,13.206629,-26.616818
136.5914,Cl* NGC  288    KHG       9,Star,00 52 53.75051,-26 33 42.4223,0.114,0.078,90,4.785,-5.446,18.48,17.76,,16.295,,,,,,,1,13.22396,-26.561784
137.2029,2MASS J00525431-2633540,RGB*,00 52 54.313,-26 33 54.08,70,70,90,,,16.89,16.095,,14.43,13.93,13.95,,,,,1,13.226304,-26.565022
138.4208,[MDL2014] 118,HB*,00 52 55.52684,-26 35 08.3188,0.055,0.039,90,4.18,-5.754,,,,,,,,,,,1,13.231362,-26.585644
138.9404,CXOU J005244.4-263238,X,00 52 44.435,-26 32 38.88,,,,,,,,,,,,,,,,1,13.185146,-26.544133
139.1015,[MDL2014] 89,Candidate_HB*,00 52 37.88,-26 36 35.4,,,,,,,,,,,,,,,,1,13.157833,-26.609833
139.2845,Gaia DR2 2342904767343632896,Candidate_WD*,00 52 55.30788,-26 34 23.3550,0.561,0.439,90,6.206,-2.594,,,,,,,,,,,1,13.23045,-26.573154
139.4012,Gaia DR2 2342907894081114368,Star,00 52 35.55167,-26 34 06.9983,0.536,0.387,90,4.588,-7.12,,,,,,,,,,,1,13.148132,-26.568611
139.9074,2MASS J00523718-2636262,RGB*,00 52 37.182,-26 36 26.24,60,60,90,,,17.039,16.28,,14.69,14.2,14.04,,,,,1,13.154925,-26.607289
140.167,2MASS J00523604-2633505,RGB*,00 52 36.05256,-26 33 50.6515,0.042,0.03,90,4.23,-5.607,16.894,16.097,,14.47,13.98,13.97,,,,,1,13.150219,-26.56407
142.3701,2MASS J00524984-2632492,RGB*,00 52 49.85539,-26 32 49.2013,0.036,0.026,90,4.265,-5.625,16.574,15.746,,14.14,13.67,13.56,,,,,1,13.207731,-26.547
142.9204,[MDL2014] 145,HB*,00 52 40.60090,-26 32 48.7439,0.049,0.035,90,4.168,-5.499,,,,,,,,,,,1,13.16917,-26.546873
143.4943,CXOU J005252.1-263308,X,00 52 52.184,-26 33 08.26,,,,,,,,,,,,,,,,1,13.217433,-26.552294
143.5771,Cl* NGC  288    KHG      33,Star,00 52 49.45,-26 32 45.4,,,,,,18.97,18.48,,,,,,,,,1,13.206042,-26.545944
143.6357,Cl* NGC  288    KHG       7,Star,00 52 55.53,-26 34 17.7,200,190,5,,,18.34,17.62,,16.286,15.753,,,,,,1,13.231375,-26.571583
